order,class,phylum,gene,n,n_res,f_res
Leptospirillales,Leptospirillia,Nitrospirota,gyrA,2,1,0.5
Limisphaerales,Verrucomicrobiia,Verrucomicrobiota,gyrA,3,1,0.3333333333333333
Limnochordales,Limnochordia,Bacillota,gyrA,2,2,1
Longimicrobiales,Gemmatimonadetes,Gemmatimonadota,gyrA,2,0,0
Lucifugimonadales,Dehalococcoidia,Chloroflexota,gyrA,1,0,0
Lutisporales,Clostridia,Bacillota,gyrA,2,2,1
MOL361,Bacilli_A,Bacillota_I,gyrA,3,0,0
Magnetococcales,Magnetococcia,Pseudomonadota,gyrA,5,2,0.4
Mahellales,Clostridia,Bacillota,gyrA,1,1,1
Mariprofundales,Zetaproteobacteria,Pseudomonadota,gyrA,6,0,0
Mesoaciditogales,Thermotogae,Thermotogota,gyrA,2,0,0
Methylacidiphilales,Verrucomicrobiia,Verrucomicrobiota,gyrA,7,0,0
Methylococcales,Gammaproteobacteria,Pseudomonadota,gyrA,52,4,0.07692307692307693
Methylohalomonadales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Methylomirabilales,Methylomirabilia,Methylomirabilota,gyrA,1,0,0
Micavibrionales,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Micropepsales,Alphaproteobacteria,Pseudomonadota,gyrA,2,0,0
Miltoncostaeales,Thermoleophilia,Actinomycetota,gyrA,2,0,0
Minisyncoccales,Minisyncoccia,Patescibacteriota,gyrA,1,0,0
Minwuiales,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Monoglobales,Clostridia,Bacillota,gyrA,2,1,0.5
Motilibacterales,Actinomycetes,Actinomycetota,gyrA,4,0,0
Mycobacteriales,Actinomycetes,Actinomycetota,gyrA,1125,175,0.15555555555555556
Mycoplasmatales,Bacilli_A,Bacillota_I,gyrA,253,53,0.20948616600790515
Myxococcales,Myxococcia,Myxococcota,gyrA,53,10,0.18867924528301888
Nannocystales,Polyangia,Myxococcota_A,gyrA,7,4,0.5714285714285714
Nanopelagicales,Actinomycetes,Actinomycetota,gyrA,9,0,0
Natranaerobiales,Natranaerobiia,Bacillota,gyrA,3,3,1
Natronospirales,Gammaproteobacteria,Pseudomonadota,gyrA,3,0,0
Neomoorellales,DSM-521,Bacillota,gyrA,8,8,1
Nevskiales,Gammaproteobacteria,Pseudomonadota,gyrA,27,2,0.07407407407407407
Nitriliruptorales,Nitriliruptoria,Actinomycetota,gyrA,3,0,0
Nitrococcales,Gammaproteobacteria,Pseudomonadota,gyrA,21,5,0.23809523809523808
Nitrosococcales,Gammaproteobacteria,Pseudomonadota,gyrA,13,4,0.3076923076923077
Nitrospinales,Nitrospinia,Nitrospinota,gyrA,2,0,0
Nitrospirales,Nitrospiria,Nitrospirota,gyrA,1,0,0
Oceanibaculales,Alphaproteobacteria,Pseudomonadota,gyrA,3,0,0
Oligoflexales,Oligoflexia,Bdellovibrionota_B,gyrA,2,0,0
Opitutales,Verrucomicrobiia,Verrucomicrobiota,gyrA,35,3,0.08571428571428572
Oscillospirales,Clostridia,Bacillota,gyrA,119,107,0.8991596638655462
PCC-6307,Cyanobacteriia,Cyanobacteriota,gyrA,5,0,0
PS1,Gammaproteobacteria,Pseudomonadota,gyrA,3,0,0
Paenibacillales,Bacilli,Bacillota,gyrA,394,98,0.24873096446700507
Paracaedibacterales,Alphaproteobacteria,Pseudomonadota,gyrA,2,0,0
Parvibaculales,Alphaproteobacteria,Pseudomonadota,gyrA,4,0,0
Pelagibacterales,Alphaproteobacteria,Pseudomonadota,gyrA,2,0,0
Peptococcales,Peptococcia,Bacillota,gyrA,3,0,0
Peptostreptococcales,Clostridia,Bacillota,gyrA,111,18,0.16216216216216217
Petrotogales,Thermotogae,Thermotogota,gyrA,21,16,0.7619047619047619
Phormidesmidales,Cyanobacteriia,Cyanobacteriota,gyrA,8,0,0
Phycisphaerales,Phycisphaerae,Planctomycetota,gyrA,5,2,0.4
Pirellulales,Planctomycetia,Planctomycetota,gyrA,65,2,0.03076923076923077
Piscirickettsiales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Planctomycetales,Planctomycetia,Planctomycetota,gyrA,35,1,0.02857142857142857
Polyangiales,Polyangia,Myxococcota_A,gyrA,21,9,0.42857142857142855
Prochlorotrichales,Cyanobacteriia,Cyanobacteriota,gyrA,1,0,0
Promineifilales,Anaerolineae,Chloroflexota,gyrA,1,1,1
Propionibacteriales,Actinomycetes,Actinomycetota,gyrA,323,2,0.006191950464396285
Propionisporales,Negativicutes,Bacillota,gyrA,2,0,0
Proteinivoracales,Proteinivoracia,Bacillota,gyrA,5,0,0
Pseudanabaenales,Cyanobacteriia,Cyanobacteriota,gyrA,10,0,0
Pseudomonadales,Gammaproteobacteria,Pseudomonadota,gyrA,1197,47,0.03926482873851295
Puniceispirillales,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Pyrinomonadales,Blastocatellia,Acidobacteriota,gyrA,1,1,1
RS24,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Radicibacterales,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Reyranellales,Alphaproteobacteria,Pseudomonadota,gyrA,5,1,0.2
Rhizobiales,Alphaproteobacteria,Pseudomonadota,gyrA,983,473,0.4811800610376399
Rhodobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,732,130,0.17759562841530055
Rhodospirillales,Alphaproteobacteria,Pseudomonadota,gyrA,45,2,0.044444444444444446
Rhodothermales,Rhodothermia,Bacteroidota,gyrA,17,3,0.17647058823529413
Rickettsiales,Alphaproteobacteria,Pseudomonadota,gyrA,423,241,0.5697399527186762
Rubeoparvulales,Bacilli,Bacillota,gyrA,1,1,1
Rubrobacterales,Rubrobacteria,Actinomycetota,gyrA,9,2,0.2222222222222222
S36-B12,Actinomycetes,Actinomycetota,gyrA,1,0,0
SBBL01,Nitrospiria,Nitrospirota,gyrA,1,1,1
SG130,Negativicutes,Bacillota,gyrA,1,0,0
SK-Y3,Clostridia,Bacillota,gyrA,1,1,1
SKNC01,Dethiobacteria,Bacillota,gyrA,1,1,1
SP-2023,Spirochaetia,Spirochaetota,gyrA,1,0,0
SSC4,Anaerolineae,Chloroflexota,gyrA,1,1,1
Saccharimonadales,Saccharimonadia,Patescibacteriota,gyrA,8,1,0.125
